Image,Label
04ce222a-5acb-11f0-8cd7-6dfd815c45e9.png,0
05f426ae-5acb-11f0-8cd7-6dfd815c45e9.png,1
06d58cc0-5acb-11f0-8cd7-6dfd815c45e9.png,2
07b4540a-5acb-11f0-8cd7-6dfd815c45e9.png,3
088c78ee-5acb-11f0-8cd7-6dfd815c45e9.png,4
09659638-5acb-11f0-8cd7-6dfd815c45e9.png,5
2e491b46-5acb-11f0-a2ca-b9b8e98a1360.png,0
2f6d0622-5acb-11f0-a2ca-b9b8e98a1360.png,1
304ec92c-5acb-11f0-a2ca-b9b8e98a1360.png,2
312744b4-5acb-11f0-a2ca-b9b8e98a1360.png,3
320b2aee-5acb-11f0-a2ca-b9b8e98a1360.png,4
32e8e370-5acb-11f0-a2ca-b9b8e98a1360.png,5
33d6b8de-5acb-11f0-a2ca-b9b8e98a1360.png,0
34c95db4-5acb-11f0-a2ca-b9b8e98a1360.png,1
35b1c608-5acb-11f0-a2ca-b9b8e98a1360.png,2
36a7dafc-5acb-11f0-a2ca-b9b8e98a1360.png,3
378f637c-5acb-11f0-a2ca-b9b8e98a1360.png,4
38764396-5acb-11f0-a2ca-b9b8e98a1360.png,5
3961492c-5acb-11f0-a2ca-b9b8e98a1360.png,0
3a3df868-5acb-11f0-a2ca-b9b8e98a1360.png,1
3b2a8548-5acb-11f0-a2ca-b9b8e98a1360.png,2
3c213398-5acb-11f0-a2ca-b9b8e98a1360.png,3
3d167fc4-5acb-11f0-a2ca-b9b8e98a1360.png,4
3e023658-5acb-11f0-a2ca-b9b8e98a1360.png,5
3ee6f450-5acb-11f0-a2ca-b9b8e98a1360.png,0
3fc57e6e-5acb-11f0-a2ca-b9b8e98a1360.png,1
40af1a60-5acb-11f0-a2ca-b9b8e98a1360.png,2
41914778-5acb-11f0-a2ca-b9b8e98a1360.png,3
4270dcc6-5acb-11f0-a2ca-b9b8e98a1360.png,4
436576be-5acb-11f0-a2ca-b9b8e98a1360.png,5
445c471e-5acb-11f0-a2ca-b9b8e98a1360.png,0
454e4e60-5acb-11f0-a2ca-b9b8e98a1360.png,1
46456ab0-5acb-11f0-a2ca-b9b8e98a1360.png,2
4726a08e-5acb-11f0-a2ca-b9b8e98a1360.png,3
4807b8b2-5acb-11f0-a2ca-b9b8e98a1360.png,4
48e46636-5acb-11f0-a2ca-b9b8e98a1360.png,5
49c66d92-5acb-11f0-a2ca-b9b8e98a1360.png,0
4aa9ae72-5acb-11f0-a2ca-b9b8e98a1360.png,1
4b9049b8-5acb-11f0-a2ca-b9b8e98a1360.png,2
4c8b060a-5acb-11f0-a2ca-b9b8e98a1360.png,3
4db4971c-5acb-11f0-a2ca-b9b8e98a1360.png,4
4e914b12-5acb-11f0-a2ca-b9b8e98a1360.png,5
4f800c02-5acb-11f0-a2ca-b9b8e98a1360.png,0
50649282-5acb-11f0-a2ca-b9b8e98a1360.png,1
51406d16-5acb-11f0-a2ca-b9b8e98a1360.png,2
521c5682-5acb-11f0-a2ca-b9b8e98a1360.png,3
5312b1e4-5acb-11f0-a2ca-b9b8e98a1360.png,4
54031a9e-5acb-11f0-a2ca-b9b8e98a1360.png,5
55012c60-5acb-11f0-a2ca-b9b8e98a1360.png,0
55ea0d22-5acb-11f0-a2ca-b9b8e98a1360.png,1
56cac588-5acb-11f0-a2ca-b9b8e98a1360.png,2
57a50dba-5acb-11f0-a2ca-b9b8e98a1360.png,3
588ca67a-5acb-11f0-a2ca-b9b8e98a1360.png,4
5976b936-5acb-11f0-a2ca-b9b8e98a1360.png,5
5a5c1a44-5acb-11f0-a2ca-b9b8e98a1360.png,0
5b4e5c3c-5acb-11f0-a2ca-b9b8e98a1360.png,1
5c431dbc-5acb-11f0-a2ca-b9b8e98a1360.png,2
5d3373a2-5acb-11f0-a2ca-b9b8e98a1360.png,3
5e0d21c4-5acb-11f0-a2ca-b9b8e98a1360.png,4
5eea2e52-5acb-11f0-a2ca-b9b8e98a1360.png,5
5fce4d12-5acb-11f0-a2ca-b9b8e98a1360.png,0
60a9abd2-5acb-11f0-a2ca-b9b8e98a1360.png,1
6192907c-5acb-11f0-a2ca-b9b8e98a1360.png,2
6277e1e0-5acb-11f0-a2ca-b9b8e98a1360.png,3
636e9c88-5acb-11f0-a2ca-b9b8e98a1360.png,4
645fee26-5acb-11f0-a2ca-b9b8e98a1360.png,5
6540560a-5acb-11f0-a2ca-b9b8e98a1360.png,0
6628b378-5acb-11f0-a2ca-b9b8e98a1360.png,1
67186882-5acb-11f0-a2ca-b9b8e98a1360.png,2
67f614c0-5acb-11f0-a2ca-b9b8e98a1360.png,3
68de42cc-5acb-11f0-a2ca-b9b8e98a1360.png,4
69bc1b24-5acb-11f0-a2ca-b9b8e98a1360.png,5
6ab3be10-5acb-11f0-a2ca-b9b8e98a1360.png,0
6bb52c0e-5acb-11f0-a2ca-b9b8e98a1360.png,1
6ca0fa8a-5acb-11f0-a2ca-b9b8e98a1360.png,2
6d80dd6c-5acb-11f0-a2ca-b9b8e98a1360.png,3
6e60d174-5acb-11f0-a2ca-b9b8e98a1360.png,4
6f3b8d64-5acb-11f0-a2ca-b9b8e98a1360.png,5
702a845a-5acb-11f0-a2ca-b9b8e98a1360.png,0
711847b2-5acb-11f0-a2ca-b9b8e98a1360.png,1
72056920-5acb-11f0-a2ca-b9b8e98a1360.png,2
72f35a36-5acb-11f0-a2ca-b9b8e98a1360.png,3
73e032c0-5acb-11f0-a2ca-b9b8e98a1360.png,4
74d77328-5acb-11f0-a2ca-b9b8e98a1360.png,5
75cdca8e-5acb-11f0-a2ca-b9b8e98a1360.png,0
76a68806-5acb-11f0-a2ca-b9b8e98a1360.png,1
778c20c8-5acb-11f0-a2ca-b9b8e98a1360.png,2
786deb5c-5acb-11f0-a2ca-b9b8e98a1360.png,3
795bc0f2-5acb-11f0-a2ca-b9b8e98a1360.png,4
7a49e660-5acb-11f0-a2ca-b9b8e98a1360.png,5
7b2cf9b4-5acb-11f0-a2ca-b9b8e98a1360.png,0
7c0788e0-5acb-11f0-a2ca-b9b8e98a1360.png,1
7ced6f36-5acb-11f0-a2ca-b9b8e98a1360.png,2
7dc78252-5acb-11f0-a2ca-b9b8e98a1360.png,3
7ea0b11c-5acb-11f0-a2ca-b9b8e98a1360.png,4
7f877034-5acb-11f0-a2ca-b9b8e98a1360.png,5
80742c9e-5acb-11f0-a2ca-b9b8e98a1360.png,0
81625f40-5acb-11f0-a2ca-b9b8e98a1360.png,1
825452d2-5acb-11f0-a2ca-b9b8e98a1360.png,2
8333174c-5acb-11f0-a2ca-b9b8e98a1360.png,3
840f61a2-5acb-11f0-a2ca-b9b8e98a1360.png,4
84e9a9de-5acb-11f0-a2ca-b9b8e98a1360.png,5
85ca7540-5acb-11f0-a2ca-b9b8e98a1360.png,0
86ad5568-5acb-11f0-a2ca-b9b8e98a1360.png,1
878e42ee-5acb-11f0-a2ca-b9b8e98a1360.png,2
88885f68-5acb-11f0-a2ca-b9b8e98a1360.png,3
8987a18a-5acb-11f0-a2ca-b9b8e98a1360.png,4
8a68e438-5acb-11f0-a2ca-b9b8e98a1360.png,5
8b441648-5acb-11f0-a2ca-b9b8e98a1360.png,0
8c30e2f2-5acb-11f0-a2ca-b9b8e98a1360.png,1
8d0dcfb4-5acb-11f0-a2ca-b9b8e98a1360.png,2
8df983fa-5acb-11f0-a2ca-b9b8e98a1360.png,3
8edde6b2-5acb-11f0-a2ca-b9b8e98a1360.png,4
8fd5c60c-5acb-11f0-a2ca-b9b8e98a1360.png,5
90cdae1c-5acb-11f0-a2ca-b9b8e98a1360.png,0
91a6b932-5acb-11f0-a2ca-b9b8e98a1360.png,1
928f3a5e-5acb-11f0-a2ca-b9b8e98a1360.png,2
937fe36e-5acb-11f0-a2ca-b9b8e98a1360.png,3
9463f996-5acb-11f0-a2ca-b9b8e98a1360.png,4
954d3642-5acb-11f0-a2ca-b9b8e98a1360.png,5
9635d9b0-5acb-11f0-a2ca-b9b8e98a1360.png,0
972a3e42-5acb-11f0-a2ca-b9b8e98a1360.png,1
983421d6-5acb-11f0-a2ca-b9b8e98a1360.png,2
99233dca-5acb-11f0-a2ca-b9b8e98a1360.png,3
9a12c0e8-5acb-11f0-a2ca-b9b8e98a1360.png,4
9b087808-5acb-11f0-a2ca-b9b8e98a1360.png,5
9bf4de32-5acb-11f0-a2ca-b9b8e98a1360.png,0
9ce06a46-5acb-11f0-a2ca-b9b8e98a1360.png,1
9dc7b946-5acb-11f0-a2ca-b9b8e98a1360.png,2
9eaec80e-5acb-11f0-a2ca-b9b8e98a1360.png,3
9fa09422-5acb-11f0-a2ca-b9b8e98a1360.png,4
a0816290-5acb-11f0-a2ca-b9b8e98a1360.png,5
a15a2a62-5acb-11f0-a2ca-b9b8e98a1360.png,0
a23841ee-5acb-11f0-a2ca-b9b8e98a1360.png,1
a3157780-5acb-11f0-a2ca-b9b8e98a1360.png,2
a3ed6a82-5acb-11f0-a2ca-b9b8e98a1360.png,3
a4cd7d20-5acb-11f0-a2ca-b9b8e98a1360.png,4
a5bfdb10-5acb-11f0-a2ca-b9b8e98a1360.png,5
